,slope,interecept,r,p,std_err,r^2
flh-2,-3.676189507166745e-05,0.05253054737144262,-0.2907309314357628,0.5270316051585205,5.410594895092052e-05,0.0845244744935062
T10D4.6,5.005848571712927e-05,0.006925142528354824,0.3594944218822993,0.42836282019848615,5.810997959271023e-05,0.12923623936448858
hsf-1,0.00010230453211817914,-0.010682487318251173,0.7896532729734864,0.03467479070872341,3.554886674214041e-05,0.6235522915177395
T26A5.8,3.697254186719073e-05,0.023783945064702786,0.2897600621635208,0.5284759813580503,5.461510693137965e-05,0.08396089362500743
D1046.2,3.0641617204564306e-05,0.017335397669007616,0.2395153348955044,0.6049483076155728,5.554750273174918e-05,0.05736759565010562
svh-5,5.276324177010075e-05,0.00553273441844308,0.41258652348405656,0.3576327757416796,5.2096783755113744e-05,0.17022763936065996
C50C3.5,8.155063819891943e-05,-0.018933866181092784,0.5779660671097427,0.17411921987217985,5.149470043099888e-05,0.33404477473030364
dhhc-1,-3.21884695424002e-05,0.036358296501689286,-0.21664641977303814,0.6407797478542706,6.486716488234974e-05,0.046935671200475454
clp-1,-1.6691460649294385e-05,0.050294013080421196,-0.1525570096216777,0.7440144324811879,4.8357476297249516e-05,0.023273641184708663
cky-1,2.3419620826205647e-05,0.024639943279837134,0.2193971999285696,0.6364388568015864,4.657484580515426e-05,0.04813513133649674
tbx-7,2.6172733462931005e-05,0.021727668167333857,0.25920923099601945,0.5745857959281353,4.361243618584807e-05,0.06718942543354776
nhr-90,4.6098775161642785e-05,0.010925231363768866,0.30459306371266687,0.5065563089861114,6.446758724514813e-05,0.09277693446186874
flh-1,2.8612618446376504e-05,0.022519065985193622,0.3956755014365516,0.37960334952455727,2.9700295326805356e-05,0.15655910243706656
flh-3,4.3875680741820135e-05,0.007893808834170603,0.4087703843698936,0.36254346919503394,4.380842492284925e-05,0.16709322713791055
inso-1,2.0012853844536522e-05,0.021995246171366944,0.18327940298421178,0.694054668777107,4.8005474487105184e-05,0.0335913395582491
Y37F4.6,3.517495087872357e-05,0.025139522266722867,0.5242612948497755,0.2270739798951474,2.5551397345450687e-05,0.2748499052775632
D2063.1,0.00010624165483573234,-0.019724626246018166,0.6258357891056735,0.13274157258059913,5.921324901449264e-05,0.39167043492552106
