,PC_head_row_1,PC_head_row_2,PC_anterior,PC_posterior,PC_far_posterior,time_bin,slope_e5,std_err_e5,pca_slope_e5,pca_r^2,specificity_cell,specificity,max_PC_cell,monotonous,transient,classification
syd-9,809.9,2159.3,1182.4,1306.7,1409.7,270_330,-50.851246915098,0.970901761010409,-0.4197997009642235,0.255544391935581,BWM_head_row_2,0.307873027319634,BWM_head_row_2,False,True,t_up
nhr-134,59.1,55.3,14.9,22.8,0.0,gt_650,71.81096537643499,4.635579327833,0.483253283338714,0.5491662170107494,,,BWM_head_row_1,True,False,m_up
nsy-7,36.7,129.3,256.2,152.3,181.1,580_650,45.088294347228,2.105147320045,1.2426198663220385,0.6515812470483779,BWM_anterior,0.325556568968146,BWM_anterior,False,True,t_down
nob-1,0.0,7.2,16.2,0.0,114.4,580_650,-70.95881558112599,7.118518742621999,0.0005810281407569,2.385749290216233e-06,BWM_far_posterior,0.631810870654585,BWM_far_posterior,False,True,t_down
pat-9,465.6,582.4,660.4,699.7,802.3,390_450,-39.735075218525,0.902934652338767,-0.1786692927354485,0.0125770876752386,BWM_far_posterior,0.262846184383634,BWM_far_posterior,False,True,t_up
php-3,0.0,0.0,0.0,0.0,158.2,580_650,-57.828004361703,7.991101940587,-0.021109035457058,0.0016219394289067,BWM_far_posterior,0.959757813490549,BWM_far_posterior,False,True,t_up
plp-1,426.6,359.0,98.3,123.1,201.5,580_650,-19.927505557354003,1.032720011019,2.265445632343649,0.5686456244435137,BWM_head_row_1,0.327060822878986,BWM_head_row_1,False,True,t_up
ref-1,4.3,12.8,61.3,30.5,175.6,390_450,3.474783952669,5.421790883313999,-0.1049884145391135,0.0235306665756424,BWM_far_posterior,0.521984818504754,BWM_far_posterior,False,True,t_up
rnt-1,6.6,7.5,74.4,147.5,515.5,450_510,16.907883100677,2.153438425911,1.0085835624784998,0.4225100521350714,BWM_far_posterior,0.574496411307272,BWM_far_posterior,False,True,t_up
sem-4,2.7,2.1,23.3,91.2,254.8,450_510,-10.063920418341,2.892834158265,0.2487241810728068,0.0968641363895977,BWM_far_posterior,0.565844034290953,BWM_far_posterior,False,True,t_up
ctbp-1,124.6,148.9,13.4,6.8,8.4,580_650,50.825401762291,3.378126742791,1.0100544449610265,0.4114329150661791,BWM_head_row_2,0.426305185061,BWM_head_row_2,False,True,t_up
tbx-2,333.7,717.6,819.7,221.2,1262.6,390_450,-30.73409339809,1.858995703082,-1.1400829963748045,0.2298670966003385,BWM_far_posterior,0.348670685033467,BWM_far_posterior,False,True,t_up
tlp-1,14.4,113.9,217.4,351.9,1104.1,330_390,-47.225332762596,2.184795196708,-1.310426889567892,0.587517919226434,BWM_far_posterior,0.519743276266472,BWM_far_posterior,False,True,t_up
unc-62,133.1,1657.0,2070.0,2614.6,41.3,330_390,-38.242714253644,0.945451557373626,-3.3959310635524327,0.5225499919185942,BWM_posterior,0.369867862086315,BWM_posterior,False,True,t_up
unc-86,1.9,0.0,70.6,2.3,29.5,580_650,5.979236547549,5.211592886805,0.2869863399070022,0.4834960661909305,,,BWM_anterior,False,True,t_up
unc-98,1121.7,950.0,723.9,764.1,528.5,gt_650,13.700565523522,0.6522467072224251,3.993287723741569,0.4899543651688522,BWM_head_row_1,0.27559409645852,BWM_head_row_1,False,True,t_up
unc-130,13.2,20.2,54.5,61.3,185.3,390_450,-24.437358952818,3.107641106533,-0.0198986338274135,0.000941055981202,BWM_far_posterior,0.490333267761135,BWM_far_posterior,False,True,t_up
vab-7,0.0,6.1,0.0,88.0,1366.0,270_330,-145.610190781246,4.900976732307,-0.8820213253662965,0.564712642328939,BWM_far_posterior,0.813490686855925,BWM_far_posterior,True,False,m_down
xbp-1,419.7,433.1,707.9,644.3,624.2,580_650,-13.704267943978,0.8658353383487709,1.006226720305719,0.0913054618381549,BWM_anterior,0.254152140145159,BWM_anterior,True,False,m_up
zyx-1,231.5,195.2,294.5,285.6,372.5,580_650,55.179767867278,1.324600394735,1.4034043582443847,0.6606883251306875,BWM_far_posterior,0.268315829963157,BWM_far_posterior,True,False,m_up
dmd-6,87.9,39.1,122.2,94.7,121.8,gt_650,49.127978491828,2.8781601169920004,0.3227243158267775,0.6393886865586379,,,BWM_anterior,True,False,m_up
irx-1,90.1,63.6,18.7,21.8,21.6,580_650,-30.651339808508,2.894689396327,0.2992066698584779,0.1732343043103334,,,BWM_head_row_1,False,True,t_down
D1046.2,6.4,20.1,3.3,14.9,82.9,gt_650,-42.309950332024,4.723494246244,0.3888867884625498,0.6331908203688761,,,BWM_far_posterior,False,True,t_down
F22D6.2,317.5,261.0,190.0,219.3,550.2,gt_650,9.763278622643,1.412193194013,0.6312264699996297,0.6922308781631197,BWM_far_posterior,0.331731294189647,BWM_far_posterior,True,False,m_up
nurf-1,1027.3,993.1,1189.7,1425.7,1884.4,390_450,-45.2140493486,0.997844038712746,0.0802517431320816,0.0004398375673568,BWM_far_posterior,0.290798838697221,BWM_far_posterior,False,True,t_up
row-1,26.3,0.0,12.1,37.7,92.3,gt_650,-29.026389635732,3.426908505481,0.3573489536854617,0.7354966399939326,BWM_far_posterior,0.449598580175908,BWM_far_posterior,False,True,t_down
ccch-1,41.0,46.6,82.6,115.6,120.2,580_650,48.87490334337,2.606333441095,0.5598637025562402,0.5441620661388178,BWM_far_posterior,0.301623212528266,BWM_far_posterior,True,False,m_up
psa-3,0.0,0.0,0.0,5.8,588.2,390_450,-45.361621676689005,6.207992761997001,-1.0541118459804846,0.2659286419743536,BWM_far_posterior,0.852299870318196,BWM_far_posterior,False,True,t_up
ztf-7,134.7,169.0,248.8,238.5,112.5,gt_650,-10.375220167228,1.352336864373,0.3095304956444997,0.2607983952096243,BWM_anterior,0.280826532699288,BWM_anterior,False,True,t_down
saeg-1,89.0,86.2,86.5,118.9,154.6,gt_650,57.625884665333,2.58482517433,0.4736548650820287,0.8539809068738202,BWM_far_posterior,0.282655926111795,BWM_far_posterior,True,False,m_up
ztf-26,71.3,97.1,0.0,4.3,19.0,gt_650,65.715414386929,4.653598037932,0.6841639406341743,0.6271655267603451,BWM_head_row_2,0.453012302523653,BWM_head_row_2,True,False,m_up
somi-1,299.3,189.8,168.4,169.6,229.9,gt_650,-0.9014904930736408,1.011006430373,0.6433070022866477,0.2993596663877161,BWM_head_row_1,0.278208749751209,BWM_head_row_1,False,True,t_up
