,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
ztf-13,0.786070127989311,0.999999378271023,-46.2821066896992,-47.5002106601471,7,2,123.503383177381,0,0,0,1.0,1.0,0.462830354449041,0.874841093117657,False,False,False
F52F10.2,0.642716915684519,0.999999378271023,-21.1310662238285,-22.8174625533729,7,2,5.57580886069212,0,0,0,0.237833540570155,0.861498141824046,0.918798219996289,0.999999999918703,False,False,False
oac-32,0.0133791487839127,0.0697672937693798,-5.16973371086518,-12.3586718803203,7,2,1.14957951042791,0,0,0,0.0302352737739515,0.299089785979747,0.0607128708961209,0.208775367982861,False,False,False
srsx-8,0.0793623726782644,0.27057744249022,-2.36852461346157,-7.29748816619569,7,2,0.413445364624834,0,0,0,0.0806010857844168,0.505673300859035,0.185348883815444,0.476572831318544,False,False,False
F52G3.1,0.990651266580187,0.999999378271023,-60.642580519224,-60.9117607732111,7,2,616.917435544247,0,0,0,0.815373084631473,1.0,0.987989811461624,0.999999999918703,False,False,False
F52G3.3,0.169139471114112,0.456078848948769,-1.95508833744242,-5.84208131225042,7,2,0.322926302152776,0,0,0,0.105246468818963,0.576104608718242,0.351687359521616,0.725686122936286,False,False,False
F52G3.4,0.277426719427432,0.631841815333596,-7.04048847012604,-10.1942961241969,7,2,0.850952003766753,0,0,0,0.99807680565215,1.0,0.0977312173229837,0.297642689046653,False,False,False
F52G3.5,0.024418223464769,0.111117873123365,-27.2792980132596,-33.7249867022567,7,2,19.0580069741208,0,0,0,1.0,1.0,0.0008450851521393,0.006739673450621,False,False,False
F52H2.1,0.940316877879063,0.999999378271023,-44.8930436544709,-45.5164066265436,7,2,95.2994781342009,0,0,0,1.0,1.0,0.703849102774613,0.999999999918703,False,False,False
F52H2.3,0.714951342956235,0.999999378271023,-23.5061134821355,-24.9575680853362,7,2,7.28145031990124,0,0,0,0.620789950375031,1.0,0.58297837745809,0.983455344487702,False,False,False
F52H2.4,3.44388378655675e-05,0.000469699164551,-35.3141018366672,-49.3755732151571,7,2,40.727745609264,0,0,0,1.0,1.0,1.24604658728809e-07,2.73974978600603e-06,False,True,False
F52H2.5,0.948938431490011,0.999999378271023,-42.3897998519784,-42.9682841065141,7,2,81.2787655579355,0,0,0,0.937663980064005,1.0,0.794418846527875,0.999999999918703,False,False,False
F52H2.6,1.38280832259249e-12,7.5657838301223e-11,-34.0615353486952,-66.3415269894104,7,2,34.1823659152782,0,0,0,1.0,1.0,2.15006501459898e-16,1.58074571594163e-14,False,True,False
F52H2.7,0.0356533875342096,0.148812305864253,-57.1751837487588,-63.1439656933003,7,2,1060.05584867052,0,0,0,1.0,1.0,0.0053884006512864,0.0306580667446835,False,False,False
F53A3.1,0.639228777837426,0.999999378271023,-67.4670942905647,-69.1649315818415,7,2,1933.0840664308,0,0,0,0.691325619075946,1.0,0.44751775430468,0.856099826502896,False,False,False
polh-1,0.853320038811147,0.999999378271023,-30.7801739511293,-31.7650294229375,7,2,16.5513230060066,0,0,0,0.993461704524755,1.0,0.581465022447453,0.982052102281737,False,False,False
F53A3.7,0.99464237149996,0.999999378271023,-42.702372252461,-42.9143777109783,7,2,65.6712908286872,0,0,0,0.823200909536476,1.0,0.998283942623654,0.999999999918703,False,False,False
kreg-1,0.196746314289744,0.503651185050552,-24.4085748568241,-28.0771702635909,7,2,12.1595487890984,0,0,0,1.0,1.0,0.0302215190623284,0.122906068304186,False,False,False
F53A9.3,0.185291133633612,0.48490353028774,-29.227276432263,-32.9830362954639,7,2,25.5760823064225,0,0,0,1.0,1.0,0.0037662423841096,0.0230547604050699,False,False,False
jbts-14,0.345795359023268,0.728206135820545,-24.8919599704804,-27.6980794703405,7,2,10.566942005133,0,0,0,0.149208215133421,0.688533234659486,0.613322910548959,0.999999999918703,False,False,False
frpr-8,0.417723404429337,0.816365925673539,-45.2839526691042,-47.7764124346518,7,2,139.041119192027,0,0,0,0.232852586425544,0.851982143593309,0.557960888073841,0.967916949393107,False,False,False
