,avg
M7.8,7.218812
cisd-3.1,3.0018023499999997
mocs-1,7.754949
R03A10.5,8.557044000000001
srxa-8,10.1589505
hpo-30,8.067532
R05A10.2,7.921755
R05D7.2,7.1746935
R05D7.3,7.0653085
arrd-14,6.1964165
R07A4.4,8.23825
R07B1.5,8.23127737
R07E3.6,8.490357395
nuaf-3,7.325048
R09D1.13,7.019981
R09H10.3,4.9939635
R09H10.6,7.3908760000000004
R10E8.8,8.758118499999998
R13H4.5,6.6080334999999994
R13H4.8,7.7965824999999995
R53.4,8.2093145
R102.1,7.621175000000001
R102.2,6.2790029999999994
R107.2,6.9102654999999995
T01B4.3,6.6548573
T01C3.11,4.801159500000001
T02G6.2,5.769062
T03E6.8,9.475788
T03F6.4,7.652137
T04A8.7,6.744152
T04C12.3,8.29163182
T04F3.4,4.68590045
cutl-11,5.1196965
T04F8.9,4.410335
ttr-22,6.191477
T05A10.6,6.627434
aldo-1,4.2162791
T05F1.8,7.924421000000001
T05H10.3,4.728466999999999
T06C12.9,3.9754055
nhr-213,8.387491
rsbp-1,4.77711115
T06E4.8,11.724858
T06E4.9,4.5129975
T06E4.10,9.0992405
bus-19,7.851566
T07G12.3,8.1018905
T09B9.3,7.275819650000001
T09B9.5,6.5943594999999995
fbxa-84,7.970357999999999
cyp-13A6,7.8453025
T12A7.2,7.88426325
lpr-2,7.8625050000000005
T12A7.6,5.0817175
T12A7.7,4.09421
arrd-17,4.1155525
T13H10.2,8.98210514
T16G12.1,8.0206525
bgal-1,3.0897533
T20D3.2,8.35971479
T20G5.13,7.8548115
pho-7,10.377347499999999
T22C8.6,6.2105255
T24F1.4,2.042074
T24F1.7,7.367568
jun-1,8.428620500000001
dkf-2,4.074568
srz-100,8.999857500000001
clec-12,8.8690635
T28F3.5,7.4366525
VF13D12L.3,8.0806855
sek-6,9.272780000000001
W01C9.2,7.467734999999999
lpr-4,4.4234545
W04G3.7,7.4992505
W04G5.5,8.015450999999999
W05B10.4,3.8584855
nmat-1,8.3786229435
W06F12.2,8.95584
W06F12.3,8.204343549999999
W07A12.8,9.09158959
W07G1.1,7.560225000000001
zmp-4,8.307889
maea-1,5.209308
ttr-16,4.0512932500000005
hum-9,5.5517965
nlp-53,7.1530565
nhr-230,6.9060032499999995
acbp-6,8.5117425
Y17G7B.22,4.865898
nkcc-1,6.6479215
nspe-7,7.6051785
Y39B6A.8,9.1365135
sre-48,9.464859
Y41E3.6,9.382626
Y43E12A.2,5.497618500000001
Y43F8A.5,9.417015
Y43F8B.1,6.89928295
Y43F8B.14,7.6286819999999995
Y44A6D.2,7.282363
Y45F10B.13,7.183968999999999
Y46G5A.14,7.405056
Y46G5A.20,7.480387
lgc-35,3.7505755349999994
Y46G5A.36,7.578438
Y48C3A.3,5.6240665000000005
Y48E1C.4,8.39172545
Y50E8A.5,4.385578
lipl-8,7.5916815
Y50E8A.11,8.615416
hmit-1.1,9.1627525
ttr-24,5.23699
ttr-25,8.2874355
Y51A2D.13,5.03917435
grdn-1,7.131463
Y51A2D.18,7.088756
Y53F4B.27,7.084912749999999
Y53H1B.2,7.5426225
Y56A3A.7,6.270416
Y56A3A.19,6.049656799999999
Y57A10A.29,4.611036500000001
Y57G11B.2,8.73551915
Y60A3A.8,5.2549975
Y67A10A.7,4.635107
Y73F4A.2,8.1544995
acs-5,7.557423999999999
Y76A2B.5,8.339151
