,t1,t2,avg
ceh-1,510.0000000,575.0000000,542.5
ceh-2,270.000000,650.000000,460.0
ceh-5,450.00000,575.00000,512.5
ceh-6,155.00000,450.00000,302.5
ceh-8,270.00000,510.00000,390.0
ceh-9,390.0000000,575.0000000,482.5
ceh-10,155.000000,510.000000,332.5
ceh-12,4.500000e+02,5.100000e+02,480.0
ceh-13,155.00000,390.00000,272.5
ceh-14,5.100000e+02,5.750000e+02,542.5
ceh-16,1.550000e+02,5.100000e+02,332.5
ceh-17,575.000000,650.000000,612.5
ceh-18,212.5000000,450.0000000,331.25
ceh-19,212.500000,450.000000,331.25
ceh-20,155.0000,575.0000,365.0
ceh-21,155.00000,390.00000,272.5
ceh-22,212.500000,450.000000,331.25
ceh-24,450.0000000,575.0000000,512.5
pros-1,155.000000,575.000000,365.0
ceh-27,155.00000,450.00000,302.5
ceh-28,212.5000000,650.0000000,431.25
ceh-30,212.50000,575.00000,393.75
ceh-31,575.00000,650.00000,612.5
ceh-32,155.00000,575.00000,365.0
ceh-33,509.999973,650.000000,579.9999865
ceh-34,1.550000e+02,2.125000e+02,183.75
ceh-36,155.00000,650.00000,402.5
ceh-37,510.00000,650.00000,580.0
ceh-38,212.5000,575.0000,393.75
ceh-39,155.00000,212.50000,183.75
ceh-40,155.00000,330.00000,242.5
ceh-41,330.00000,510.00000,420.0
ceh-43,575.00000,650.00000,612.5
ceh-44,155.00000,450.00000,302.5
cpg-1,4.500000e+02,5.100000e+02,480.0
cel-1,155.0000,575.0000,365.0
cep-1,212.50000,270.00000,241.25
ces-1,270.00000,650.00000,460.0
ces-2,155.0000,390.0000,272.5
cey-1,212.500,450.000,331.25
cey-2,3.900000e+02,5.100000e+02,450.0
cey-3,155.000000,330.000000,242.5
cey-4,155.000,650.000,402.5
cfi-1,1.550000e+02,5.100000e+02,332.5
cft-1,5.750000e+02,6.500000e+02,612.5
cfz-2,155.00000,510.00000,332.5
cgh-1,155.00000,330.00000,242.5
cgp-1,155.0000,650.0000,402.5
cha-1,1.550000e+02,5.100000e+02,332.5
chd-3,155.0000,390.0000,272.5
che-1,155.0000000,450.0000000,302.5
che-2,390.0000000,510.0000000,450.0
che-3,510.00000,575.00000,542.5
che-7,212.5000000,450.0000000,331.25
che-11,212.5000000,575.0000000,393.75
che-12,1.550000e+02,6.500000e+02,402.5
che-13,155.000000,575.000000,365.0
che-14,212.500000,330.000000,271.25
chs-1,1.550000e+02,5.750000e+02,365.0
chs-2,1.550000e+02,4.500000e+02,302.5
chk-1,155.00000,330.00000,242.5
chk-2,1.550000e+02,2.125000e+02,183.75
chn-1,575.0000,650.0000,612.5
cho-1,155.0000000,450.0000000,302.5
chp-1,510.0000,575.0000,542.5
cht-1,212.5000,270.0000,241.25
cic-1,212.5000,575.0000,393.75
cit-1.1,155.00000,575.00000,365.0
cit-1.2,212.5000,330.0000,271.25
cka-1,155.00000,450.00000,302.5
cka-2,2.062351e+02,4.379230e+02,322.07905
ckb-1,155.00000,650.00000,402.5
ckb-2,212.5000,330.0000,271.25
ckb-3,4.500000e+02,5.100000e+02,480.0
ckb-4,510.00000,650.00000,580.0
ckc-1,155.000000,575.000000,365.0
cki-1,155.00000,450.00000,302.5
cki-2,155.00000,390.00000,272.5
ckk-1,212.500000,390.000000,301.25
cku-70,155.00000,330.00000,242.5
cku-80,155.00000,212.50000,183.75
cky-1,450.000000,575.000000,512.5
clc-1,212.5000000,510.0000000,361.25
clc-2,212.500000,650.000000,431.25
clc-3,270.000000,575.000000,422.5
clc-4,5.750000e+02,6.500000e+02,612.5
clc-5,450.000000,650.000000,550.0
cle-1,510.00000,650.00000,580.0
clh-1,450.0000,510.0000,480.0
clh-2,1.550000e+02,5.750000e+02,365.0
clh-3,5.100000e+02,5.750000e+02,542.5
clh-4,4.500000e+02,5.100000e+02,480.0
clh-5,510.0000,650.0000,580.0
clh-6,330.00000,575.00000,452.5
cpi-2,450.000,575.000,512.5
cpi-1,575.00000,650.00000,612.5
clk-1,155.0000,390.0000,272.5
clk-2,155.00000,450.00000,302.5
cln-3.1,5.750000e+02,6.500000e+02,612.5
cln-3.2,330.00000,450.00000,390.0
cln-3.3,575.000000,650.000000,612.5
clp-1,575.0000,650.0000,612.5
clp-2,212.50000,650.00000,431.25
clp-3,3.900000e+02,4.500000e+02,420.0
clp-4,575.000000,650.000000,612.5
clp-6,5.750000e+02,6.500000e+02,612.5
clp-7,510.00000,650.00000,580.0
clr-1,212.5000,510.0000,361.25
cls-2,270.00000,650.00000,460.0
clu-1,212.5000,390.0000,301.25
cmd-1,450.0000,650.0000,550.0
cmk-1,155.00000,510.00000,332.5
cnb-1,390.0000,650.0000,520.0
cnc-2,1.550000e+02,5.100000e+02,332.5
cnc-3,155.000000,510.000000,332.5
cnc-4,510.000000,575.000000,542.5
cnc-6,450.0000000,575.0000000,512.5
cnd-1,330.00000,450.00000,390.0
cng-1,155.000000,450.000000,302.5
cng-3,5.100000e+02,5.750000e+02,542.5
cnk-1,390.00000,650.00000,520.0
cnt-1,212.500000,650.000000,431.25
cnt-2,390.0000,650.0000,520.0
cnx-1,155.0000,450.0000,302.5
cof-2,330.00000,450.00000,390.0
cog-1,212.500000,270.000000,241.25
cogc-2,330.0000,575.0000,452.5
coh-1,270.0000,390.0000,330.0
coh-3,5.750000e+02,6.500000e+02,612.5
col-2,212.500000,330.000000,271.25
col-3,155.000000,650.000000,402.5
col-8,2.700000e+02,4.500000e+02,360.0
col-9,2.700000e+02,3.300000e+02,300.0
col-10,212.500000,575.000000,393.75
col-12,575.0000000,650.0000000,612.5
col-13,4.500000e+02,5.100000e+02,480.0
col-14,450.000000,575.000000,512.5
col-17,3.300000e+02,3.900000e+02,360.0
col-33,450.000000,510.000000,480.0
col-34,575.00000,650.00000,612.5
col-35,5.750000e+02,6.500000e+02,612.5
col-38,1.550000e+02,5.750000e+02,365.0
col-39,155.00000,510.00000,332.5
col-40,4.500000e+02,5.100000e+02,480.0
col-41,1.550000e+02,2.125000e+02,183.75
col-43,212.5000000,510.0000000,361.25
col-44,155.0000000,510.0000000,332.5
col-46,5.100000e+02,5.750000e+02,542.5
col-47,4.500000e+02,5.100000e+02,480.0
col-48,155.000000,575.000000,365.0
col-50,212.5000000,270.0000000,241.25
col-51,5.750000e+02,6.500000e+02,612.5
col-53,510.0000000,575.0000000,542.5
col-54,1.550000e+02,5.750000e+02,365.0
col-55,5.750000e+02,6.500000e+02,612.5
col-56,510.000000,575.000000,542.5
col-58,575.000000,650.000000,612.5
col-60,4.500000e+02,5.100000e+02,480.0
col-61,1.550000e+02,5.750000e+02,365.0
col-63,155.0000000,575.0000000,365.0
col-64,330.0000000,510.0000000,420.0
col-65,1.809591e+02,5.121144e+02,346.53675000000004
col-68,450.000000,510.000000,480.0
col-69,1.550000e+02,5.750000e+02,365.0
col-71,330.000000,650.000000,490.0
col-72,4.500000e+02,5.100000e+02,480.0
col-73,4.500000e+02,5.100000e+02,480.0
col-74,155.00000,575.00000,365.0
col-75,3.900000e+02,6.500000e+02,520.0
col-76,155.000000,450.000000,302.5
col-77,212.500000,650.000000,431.25
col-78,4.500000e+02,5.100000e+02,480.0
col-80,1.550000e+02,6.500000e+02,402.5
col-81,3.900000e+02,4.500000e+02,420.0
col-83,5.100000e+02,5.750000e+02,542.5
col-84,1.550000e+02,2.700000e+02,212.5
col-85,390.0000000,510.0000000,450.0
col-86,2.700000e+02,3.300000e+02,300.0
col-88,4.500000e+02,5.100000e+02,480.0
col-89,212.500000,510.000000,361.25
col-90,5.100000e+02,5.750000e+02,542.5
col-91,3.900000e+02,4.500000e+02,420.0
col-93,4.500000e+02,5.100000e+02,480.0
col-94,1.550000e+02,6.500000e+02,402.5
col-96,1.550000e+02,2.125000e+02,183.75
col-97,1.550000e+02,5.100000e+02,332.5
col-98,270.0000000,575.0000000,422.5
col-99,510.000000,575.000000,542.5
col-101,1.550000e+02,6.500000e+02,402.5
col-103,212.500000,270.000000,241.25
col-104,575.000000,650.000000,612.5
col-105,1.550000e+02,5.100000e+02,332.5
col-107,575.00000,650.00000,612.5
col-108,1.550000e+02,6.500000e+02,402.5
col-109,450.0000000,575.0000000,512.5
col-110,510.000000,575.000000,542.5
col-111,510.00000,575.00000,542.5
col-113,575.000000,650.000000,612.5
col-114,5.750000e+02,6.500000e+02,612.5
col-115,510.0000000,650.0000000,580.0
col-116,3.900000e+02,4.500000e+02,420.0
col-117,450.0000000,575.0000000,512.5
col-118,510.00000,575.00000,542.5
col-119,2.125000e+02,2.700000e+02,241.25
col-120,1.550000e+02,5.750000e+02,365.0
col-121,270.00000,450.00000,360.0
col-122,5.100000e+02,5.750000e+02,542.5
col-124,2.125000e+02,3.300000e+02,271.25
col-125,450.000000,510.000000,480.0
col-127,1.550000e+02,6.500000e+02,402.5
col-128,5.750000e+02,6.500000e+02,612.5
