"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero"
"dut-1","dut-1",0.380291531396396,0.872217657774236,-50.8709027800989,-53.521267008235,7,2,85.8418601856625,0,0,0,1,1,0.0900445455491587,0.308763792476814,FALSE,FALSE,FALSE
"K07A1.3","K07A1.3",0.975373555354919,0.999999372691275,-74.2100901426516,-74.6228771435591,7,2,525.739496286638,0,0,0,0.743356858602427,1,0.972194019672305,0.999999999991483,FALSE,FALSE,FALSE
"K07A1.5","K07A1.5",0.351286020066086,0.835097738529197,-9.1383669688345,-11.9189471680516,7,2,0.820511291056445,0,0,0,0.522056132972349,1,0.234605578576072,0.61430568420996,FALSE,FALSE,FALSE
"ate-1","ate-1",0.989670803755112,0.999999372691275,-71.2622697493016,-71.54334200811,7,2,300.453356458353,0,0,0,0.975055868826837,1,0.916330458332159,0.999999999991483,FALSE,FALSE,FALSE
"K07A1.10","K07A1.10",1.29204732209859e-05,0.000164832880148151,-70.7342881875105,-85.8802149661277,7,2,1403.53400222994,0,0,0,1,1,7.06838993682702e-07,1.14768122576966e-05,FALSE,TRUE,FALSE
"K07A1.13","K07A1.13",0.990094509951086,0.999999372691275,-33.0957847677739,-33.3717948668429,7,2,5.99676108602952,0,0,0,0.819384229010441,1,0.984705099995111,0.999999999991483,FALSE,FALSE,FALSE
"K07A1.15","K07A1.15",0.980242454148109,0.999999372691275,-69.6984769859431,-70.0723788709604,7,2,223.406314998317,0,0,0,1,1,0.857803895842435,0.999999999991483,FALSE,FALSE,FALSE
"K07A12.1","K07A12.1",0.999560343174788,0.999999372691275,-66.1424309832468,-66.2174484217411,7,2,133.708987708827,0,0,0,0.946536243985027,1,0.99788647751213,0.999999999991483,FALSE,FALSE,FALSE
"egg-6","egg-6",0.844389377808012,0.999999372691275,-36.6597959748167,-37.6769084811569,7,2,10.5347408084261,0,0,0,0.498362120125723,1,0.886900094643015,0.999999999991483,FALSE,FALSE,FALSE
"K07A12.4","K07A12.4",0.999988562420583,0.999999372691275,-66.7910226644324,-66.8081657962458,7,2,153.437797857635,0,0,0,0.986526365186175,1,0.999839352236356,0.999999999991483,FALSE,FALSE,FALSE
