"","x"
"451","MSxpappp"
"452","ABalaaapal/ABalaaappr"
"453","ABpxppapp"
"454","ABpxapappa"
"455","MSxpppp"
"456","Cxpppp"
"457","unannotated"
"458","ABalpppppp/ABpraaappp"
"459","unannotated"
"460","ABpxpppapa"
"461","ABpxaapppa"
"462","unannotated"
"463","ABalaaaala/ABalaapaaa"
"464","unannotated"
"465","MSxpaaap"
"466","ABpxpaaaap"
"467","ABpxaapppp"
"468","unannotated"
"469","Cxpppp"
"470","unannotated"
"471","Cxppap"
"472","ABaraapxpa"
"473","Z2/Z3:pseudotime_bin_2"
"474","unannotated"
"475","MSxaapa"
"476","Cxpap"
"477","Cxpaap"
"478","ABalapaaaa/ABalappapa"
"479","ABalpppppa/ABpraaappa"
"480","ABpxapaaapa"
"481","unannotated"
"482","ABpxpapaaa"
"483","Dxap"
"484","unannotated"
"485","unannotated"
"486","ABpxppaapp"
"487","ABpxaapapa"
"488","ABpxpaaaaa"
"489","MSxpaaaa"
"490","ABalaaaala/ABalaapaaa"
"491","ABpxppaaaa"
"492","ABaraaaaax"
"493","ABalapaaa/ABalappap"
"494","ABpxppappa"
"495","unannotated"
"496","ABpxppapap"
"497","Cxppa"
"498","Dxppp"
"499","ABarppxap"
"500","ABpxpapaaa"
"501","unannotated"
"502","Dxaap"
"503","ABaraappaa"
"504","ABpxapppa"
"505","ABarppxaap"
"506","ABpxppaapp"
"507","ABpxppppaa"
"508","ABarpaapaa"
"509","unannotated"
"510","MSxpapa"
"511","ABpxpaappa"
"512","ABpxpaapap"
"513","Cxpa"
"514","unannotated"
"515","unannotated"
"516","unannotated"
"517","ABpxapaaap"
"518","ABalpaaaap/ABarapaaap"
"519","Dxpp"
"520","ABplpapppa"
"521","MSxpappa"
"522","ABalpaaapp/ABarapaapp"
"523","Dxpp"
"524","MSppaap"
"525","ABalapxpapa/ABpxpaaappa"
"526","Cxpaaa"
"527","Cxaaax/Cxaapa"
"528","ABalpapapp/ABarappapp"
"529","Cxaaax/Cxaapa"
"530","ABpxappapp"
"531","ABalpppppa/ABpraaappa"
"532","unannotated"
"533","Z2/Z3:pseudotime_bin_2"
"534","ABarppxaap"
"535","unannotated"
"536","ABalapxppa"
"537","ABpxppapaa"
"538","Cxaaax/Cxaapa"
"539","unannotated"
"540","MSxapapaa"
"541","ABpxpaaapp"
"542","Cxpap"
"543","unannotated"
"544","unannotated"
"545","unannotated"
"546","ABalaaapal/ABalaaappr"
"547","ABalpppppp/ABpraaappp"
"548","ABalpappap"
"549","ABalppppaad/ABpraaapaad"
"550","ABalpappaa/ABarapapaa"
"551","ABpxppappa"
"552","MSxpaaap"
"553","ABaraapxpp"
"554","ABpxapppa"
"555","MSxppap"
"556","Cxppa"
"557","ABpxaapaaa"
"558","MSxapaapa"
"559","unannotated"
"560","MSxpaaap"
"561","unannotated"
"562","ABpxapapa"
"563","ABalpppaap/ABpraaaaap"
"564","ABpxaappa"
"565","unannotated"
"566","ABpxpaappp"
"567","ABpxaapaaa"
"568","unannotated"
"569","ABalapaaaa/ABalappapa"
"570","unannotated"
"571","ABpxpaapap"
"572","unannotated"
"573","MSxppaa"
"574","ABalpappap"
"575","MSaaaaaa"
"576","ABarppxpp"
"577","MSaappa"
"578","unannotated"
"579","ABarpapapx/ABplaaaapx"
"580","ABalppppap/ABpraaapap"
"581","ABalpappa/ABarapapa"
"582","ABalpaaaaa/ABarapaaaa"
"583","MSpappa"
"584","ABalppappp/ABarappppp"
"585","ABpxpaappp"
"586","ABalapxppp"
"587","unannotated"
"588","MSaaaaap"
"589","ABalpapaaa"
"590","ABalpapppa/ABarapappa"
