gene_short_name,gene_id,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
php-3,WBGene00004024,BWM_far_posterior,0.0740740740740741,0.0193156402726314,0.0740740740740741,1.0,0.067089878542764,0.0003327361632168,1.0
dsc-1,WBGene00001096,BWM_far_posterior,0.100066625316121,0.124551637967001,0.111111111111111,0.900599627845088,0.0855795976242941,4.94147936690494e-05,0.252509595648842
unc-58,WBGene00006792,BWM_head_row_1,0.269902852684118,0.46312769446528,0.35,0.771151007668909,0.269197710200094,7.952074597334101e-32,4.06351011923773e-28
ceh-33,WBGene00000454,BWM_head_row_1,0.700513700837772,3.10967776763183,0.92,0.761427935693231,0.788644953932799,6.4178806412483705e-118,3.27953700767792e-114
pbo-5,WBGene00012857,BWM_far_posterior,0.440333247389698,0.920614525679167,0.592592592592593,0.743062354970115,0.283778859148833,6.23521651709981e-14,3.186195640238e-10
lin-39,WBGene00003024,BWM_posterior,0.14021401002019,0.226944840013934,0.193965517241379,0.722881118326311,0.136997881870645,1.32447449754614e-16,6.76806468246079e-13
tni-3,WBGene00006585,BWM_head_row_1,0.666219215262056,7.16010306893012,0.97,0.686823933259852,0.803519365164957,2.40235102405948e-121,1.22760137329439e-117
vab-15,WBGene00006881,BWM_far_posterior,0.0753165145196901,0.0606282903005699,0.111111111111111,0.677848630677211,0.0415879645798905,0.0048037459288512,1.0
hlh-16,WBGene00001960,BWM_anterior,0.0512301778949561,0.802737762214783,0.0784313725490196,0.65318476816069,0.0159144575583102,0.0139837731269092,1.0
T10D4.6,WBGene00020408,BWM_far_posterior,0.0698642462759497,0.0607875522959995,0.111111111111111,0.628778216483547,0.0348435773280403,0.0098839488611981,1.0
ric-7,WBGene00010259,BWM_far_posterior,0.330943217083866,0.649768644826271,0.555555555555556,0.595697790750959,0.202358585080312,3.05429024787064e-10,1.5607423166619e-06
eya-1,WBGene00001377,BWM_head_row_1,0.255449512664148,0.569072494794698,0.435,0.587240258998041,0.237904759752116,5.65375632175662e-28,2.88906948041763e-24
ceh-34,WBGene00000455,BWM_head_row_2,0.437447982512781,2.61029644485919,0.766666666666667,0.570584325016671,0.358292823569797,4.48726181661409e-33,2.2929907882898e-29
elf-1,WBGene00016029,BWM_far_posterior,0.0839201046052696,0.158746322905219,0.148148148148148,0.56646070608557,0.0479207848639452,0.0024583698427844,1.0
rnt-1,WBGene00004393,BWM_far_posterior,0.143159544472982,0.263926487122086,0.259259259259259,0.552186814395789,0.0647431160819561,0.0004243622275515,1.0
C55A6.10,WBGene00008339,BWM_head_row_1,0.0766001107908644,0.145735156263885,0.14,0.547143648506174,0.0691805641653487,1.05851196535663e-08,5.40899614297239e-05
spon-1,WBGene00006893,BWM_far_posterior,0.255809319897815,0.632526435004883,0.481481481481481,0.531296279787769,0.141878002807662,1.54098678628399e-07,0.0007874442477911
sem-4,WBGene00004773,BWM_posterior,0.0466850569370183,0.0781310908455478,0.0905172413793103,0.515758724256583,0.0448218343438833,3.35503532465056e-06,0.0171442305089643
T26A5.8,WBGene00020823,BWM_far_posterior,0.113875139040096,0.179394363315836,0.222222222222222,0.512438125680434,0.0525645726480751,0.0015095035318992,1.0
F19C7.8,WBGene00017597,BWM_far_posterior,0.226597220838638,0.729525949521139,0.444444444444444,0.509843746886935,0.0963044541636086,1.64276532622884e-05,0.083945308170294
C50C3.5,WBGene00016801,BWM_far_posterior,0.0923489505821059,0.118373480495533,0.185185185185185,0.498684333143372,0.0367457522091334,0.0080558940227472,1.0
arrd-15,WBGene00014033,BWM_head_row_1,0.194486614525258,0.489894290827435,0.39,0.498683626987841,0.22300140179774,3.56688151010827e-26,1.8226764516653296e-22
lin-36,WBGene00003021,BWM_head_row_1,0.0747506178893449,0.161415923654614,0.15,0.498337452595632,0.0632475182270096,4.64813232425124e-08,0.0002375195617692
csk-1,WBGene00000812,BWM_head_row_1,0.062582724356744,0.116125980349111,0.13,0.481405571974953,0.0425655263467458,7.97811879877253e-06,0.0407681870617276
ztf-26,WBGene00010137,BWM_head_row_2,0.0755020504206089,0.161789235587506,0.166666666666667,0.453012302523653,0.0374384420811753,0.0002260622101832,1.0
row-1,WBGene00009508,BWM_far_posterior,0.0832589963288719,0.165157157611223,0.185185185185185,0.449598580175908,0.0251960898264868,0.0283600915011894,1.0
R31.2,WBGene00011270,BWM_head_row_1,0.270657088278381,1.00569984535278,0.605,0.44736708806344,0.257894822870729,2.01072123491206e-30,1.0274785510400599e-26
pyk-2,WBGene00014001,BWM_far_posterior,0.0662566785156652,0.148112852762507,0.148148148148148,0.44723257998074,0.0312918641384394,0.0145171984785278,1.0
eor-1,WBGene00001324,BWM_far_posterior,0.0660931189155825,0.134841457085657,0.148148148148148,0.446128552680182,0.0285681832720967,0.0195464341859142,1.0
dnj-11,WBGene00001029,BWM_far_posterior,0.0813378417184317,0.145771269637403,0.185185185185185,0.439224345279531,0.0260540269289916,0.0257859179542886,1.0
ceh-13,WBGene00000437,BWM_anterior,0.0540181504970182,0.122338723500891,0.127450980392157,0.423834719284296,0.0177412110709982,0.0094427043662853,1.0
lect-2,WBGene00019407,BWM_far_posterior,0.201866551879774,0.6178883187513,0.481481481481481,0.419261300057993,0.0886599945124456,3.60057867626411e-05,0.183989570357096
nhr-156,WBGene00015897,BWM_head_row_1,0.0953999220887929,0.264412484169124,0.23,0.414782269951274,0.0656938707786459,2.5262032857583e-08,0.0001290889879022
fkh-2,WBGene00001434,BWM_head_row_2,0.142467381772063,0.486497316068469,0.344444444444444,0.413614979338246,0.101940150469611,8.15893497204119e-10,4.16921577071305e-06
glrx-3,WBGene00017062,BWM_head_row_1,0.0913351047089187,0.247317291508637,0.225,0.405933798706305,0.0391635272786932,1.86098617337958e-05,0.0950963934596968
unc-52,WBGene00006787,BWM_head_row_2,0.0948486821042543,0.326069284112659,0.244444444444444,0.38801733588104,0.0336270929664956,0.0004770419547939,1.0
dyc-1,WBGene00001116,BWM_far_posterior,0.272863779948103,0.966200778510552,0.703703703703704,0.387753792557831,0.103872543778734,7.56110905309141e-06,0.0386372672612971
hsp-12.1,WBGene00011906,BWM_head_row_1,0.25724151925057,2.1439481973577,0.67,0.383942566045627,0.133909062409681,7.79657996705841e-16,3.98405236316685e-12
ztf-3,WBGene00016905,BWM_anterior,0.0559377496234062,0.153277577119359,0.147058823529412,0.380376697439162,0.0126401428231594,0.0285778322737319,1.0
