Your Input	Sequence Name
nhr-53	K06B4.11
atf-2	K08F8.2
let-607	F57B10.1
gop-3	C34E10.1
ceh-53	C09G12.1
Y47G6A.7	Y47G6A.7
C34F6.9	C34F6.9
cep-1	Multiple entries : 3
nhr-192	F57A8.5
nhr-211	T01G6.5
sup-35	Y48A6C.3
svh-5	C33A11.4
sta-2	F58E6.1
ing-3	Y51H1A.4
hmg-11	T05A7.4
nhr-264	F14A5.1
nhr-105	C06G3.1
dhhc-9	C43H6.7
hlh-25	C17C3.7
tbx-33	Y66A7A.8
D1046.2	D1046.2
grh-1	Y48G8AR.1
K10B3.5	K10B3.5
pie-1	Y49E10.14
F40G9.14	F40G9.14
cky-1	C15C8.2
sma-9	T05A10.1
gmeb-1	C01B12.2
pax-2	K06B9.5
hlh-15	C43H6.8
zim-1	T07G12.6
dpy-20	T22B3.1
ces-1	F43G9.11
ech-6	T05G5.6
ceh-41	T26C11.5
Y52E8A.2	Y52E8A.2
ceh-38	F22D3.1
Y48G8AL.10	Y48G8AL.10
tbx-37	Y47D3A.12
lect-2	K05F1.5
ceh-89	F28H6.2
nhr-213	T06C12.13
sex-1	F44A6.2
nhr-47	C24G6.4
T27A8.2	T27A8.2
nhr-4	F32B6.1
Y37F4.6	Y37F4.6
tbp-1	T20B12.2
elt-1	W09C2.1
zag-1	F28F9.1
Y116A8C.20	Y116A8C.20
nhr-94	C12D5.8
dmd-8	T22H9.4
mbf-1	H21P03.1
nhr-25	F11C1.6
madf-2	F36D1.1
nob-1	Y75B8A.2
crh-1	Y41C4A.4
hlh-29	F31A3.4
T20F7.1	T20F7.1
dmd-10	C34D1.1
nhr-187	F47C10.4
daf-8	R05D11.1
drap-1	F40F9.7
lir-3	F37H8.1
nhr-90	ZK488.2
Y55F3AM.14	Y55F3AM.14
nhr-199	K06B4.10
nhr-175	F09F3.10
ZC204.12	ZC204.12
egl-43	R53.3
unc-42	F58E6.10
ceh-40	F17A2.5
T26A8.4	T26A8.4
hinf-1	F39B2.1
nhr-171	C54F6.8
end-1	F58E10.2
ceh-87	F34D6.2
daf-16	R13H8.1
ceh-86	F42G2.6
duxl-1	ZC204.2
ztf-8	ZC395.8
snpc-4	F32H2.1
nhr-243	Y80D3A.4
lst-5	C52E12.6
scrt-1	C55C2.1
daf-3	F25E2.5
xbp-1	R74.3
nhr-165	C47F8.2
gei-3	T22H6.6
php-3	Y75B8A.1
dcp-66	C26C6.5
sptf-3	Y40B1A.4
nhr-128	F44C8.5
ztf-18	T24C4.7
nhr-169	C54C8.1
ceh-13	R13A5.5
nhr-36	F07C3.10
row-1	F37D6.2
lin-36	F44B9.6
Y48G9A.11	Y48G9A.11
T23F11.4	T23F11.4
athp-1	C44B9.4
daf-12	F11A1.3
nhr-58	R11G11.2
nhr-134	F44C8.2
pop-1	W10C8.2
mab-9	T27A1.6
Y111B2A.10	Y111B2A.10
nhr-188	F47C10.7
ceh-19	F20D12.6
nhr-100	C28D4.1
odd-1	B0280.4
zfp-3	W05H7.4
lim-4	ZC64.4
nhr-186	F47C10.3
nhr-207	R07B7.14
efl-1	Y102A5C.18
ceh-34	C10G8.6
nhr-232	Y22F5A.1
nhr-152	C12D5.2
nhr-9	ZK418.1
nhr-12	R04B5.4
nhr-189	F47C10.8
ceh-8	ZK265.4
dhhc-11	T22E7.2
nhr-88	K08A2.5
tbx-8	T07C4.2
tra-1	Y47D3A.6
nhr-67	C08F8.8
C27A2.7	C27A2.7
peb-1	T14F9.4
cey-3	M01E11.5
atfs-1	ZC376.7
nhr-180	F31F4.12
