"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero"
"sri-31","sri-31",5.58880005816997e-106,2.42001197254252e-105,-219.357773764736,-469.716674777116,7,2,1085.07942917397,0,0,0,4.65741206483733e-31,4.12086388019992e-30,6.08525064659168e-78,2.24331867536484e-77,TRUE,FALSE,FALSE
"sri-40","sri-40",9.12929486208053e-41,1.64863181888205e-40,-256.861381711103,-355.676211866309,7,2,1063.80758491088,0,0,0,2.71507283021148e-29,2.18957924441417e-28,2.9503863363912e-14,3.96690393068911e-14,TRUE,FALSE,FALSE
"sri-45","sri-45",1.07164476034714e-10,1.24055616699385e-10,-201.942525044994,-229.650722446555,7,2,1074.17786863865,0,0,0,0.000198130846218032,0.000320496425033203,2.36775188598212e-08,2.85024851806435e-08,TRUE,FALSE,FALSE
"sri-47","sri-47",1.79756758739826e-25,2.56834060767946e-25,-215.664699988146,-278.594991250021,7,2,1069.99939547393,0,0,0,5.48639696571535e-08,1.228248930486e-07,6.60528226551678e-20,9.85230897505514e-20,TRUE,FALSE,FALSE
"sri-48","sri-48",3.38862964282704e-15,4.17709882795647e-15,-229.946480134534,-268.496744386028,7,2,1030.63558317603,0,0,0,0.00192140845752459,0.00279835809411455,6.13499082579335e-14,8.20492675482118e-14,FALSE,TRUE,FALSE
"sri-50","sri-50",0.000249346390522713,0.000259805659359919,-201.381219195331,-213.224673762697,7,2,1050.80077154292,0,0,0,9.33754220041688e-06,1.71290985221803e-05,0.913593693119077,0.918780032861674,TRUE,FALSE,FALSE
"sri-57","sri-57",1.60789270478959e-28,2.41124077152679e-28,-225.264613254717,-295.37378689422,7,2,1087.33877421537,0,0,0,7.17291528977609e-18,3.09018084945164e-17,3.1531839892121e-13,4.16659664672855e-13,TRUE,FALSE,FALSE
"sri-61","sri-61",3.25689941641646e-10,3.74283400998359e-10,-207.587937017061,-234.1219515027,7,2,1100.7423264291,0,0,0,1.15232055681965e-05,2.0940772964141e-05,1.17860428614695e-06,1.36722168072065e-06,TRUE,FALSE,FALSE
"sri-62","sri-62",6.5255019816528e-11,7.57362256632287e-11,-203.661015913632,-231.892346889494,7,2,1105.45099503169,0,0,0,7.33558906846707e-06,1.36115367602161e-05,3.51981576141117e-07,4.12886195806662e-07,TRUE,FALSE,FALSE
"sri-63","sri-63",8.75940902584515e-38,1.51399627860673e-37,-238.000056330498,-329.839834698171,7,2,993.948985885087,0,0,0,2.10597959572213e-34,2.18894242828088e-33,2.72628422113223e-06,3.13528519966276e-06,TRUE,FALSE,FALSE
