,t1,t2,avg
nurf-1,0.1471508,7.4055446,3.7763477
F27D4.4,9.490719,9.491229,9.490974
F27D4.6,2.538256,8.994886,5.766571
aptf-4,16.12853,4.157501,10.1430155
aptf-3,9.17644102,9.62471475,9.400577885
ceh-89,1.727002,3.956645,2.8418235
F33H1.4,5.865483,14.23704,10.0512615
zfp-2,5.94266,0.9266945,3.43467725
madf-2,2.000787,8.50048,5.250633499999999
row-1,5.720402,8.678254,7.199328
ccch-1,8.558132,5.729339,7.1437355
ccch-2,6.970947,9.069584,8.0202655
F38C2.7,4.631232,8.111339,6.371285499999999
hinf-1,1.457557,4.47007,2.9638135
psa-3,4.030093,6.053745,5.041919
drap-1,2.376337,7.488782,4.9325595
F43G9.12,0.1083231,6.453019,3.28067105
sptf-1,-12.2911564,21.6593671,4.68410535
ztf-7,-4.272731,8.205213,1.966241
hmg-6,1.4302806,7.6999437,4.56511215
lsy-27,0.8430545,6.797251,3.82015275
efl-3,4.047767,9.217624,6.6326955000000005
F52B5.7,1.840207,5.679401,3.759804
lsl-1,0.4538763,6.098352,3.27611415
ztf-11,0.3105691,4.9326458,2.6216074500000004
frpr-9,5.336853,5.822409,5.579631
klf-2,2.90466941,5.69834678,4.301508095
gmeb-2,2.477713,2.464897,2.471305
saeg-1,2.667496,7.514926,5.091211
F55B11.4,-5.59874524,9.11048087,1.7558678149999998
ztf-26,6.303257,9.646314,7.9747855
F57A8.1,2.868513,6.838948,4.8537305
nhr-192,9.01517,8.993947,9.0045585
nhr-283,8.377013,8.629094,8.5030535
nhr-193,1.594115,3.992872,2.7934935000000003
sta-2,1.874285,3.922192,2.8982385
F58G1.2,3.285759,5.10887,4.1973145
dhhc-12,8.996642,9.004706,9.000674
memi-3,3.958903,9.461874,6.7103885
fozi-1,4.5032716,10.1151705,7.30922105
rnf-113,3.111123,21.34351,12.2273165
K04C1.3,0.8514539,1.8854051,1.3684295
nhr-196,7.953561,8.052686,8.0031235
nhr-197,5.522478,7.565084,6.543781
nhr-199,6.092006,8.429493,7.2607495
K07A12.1,0.9259919,7.9758089,4.4509004
K09A11.1,-4.775925,4.135502,-0.3202115000000001
K11H3.4,2.978129,6.5043,4.7412145
somi-1,8.320183,8.3339512,8.3270671
dhhc-6,5.865637,9.603406,7.7345215
ztf-14,7.26236647,8.5845201,7.923443285
ceh-90,9.031296,8.993419,9.0123575
nhr-205,8.501489,10.59338,9.5474345
R06C1.6,6.1953723,7.065933,6.63065265
ztf-15,4.090701,6.008701,5.049701000000001
ceh-62,4.8459654,10.7224593,7.784212350000001
nhr-206,0.6379323,8.0797918,4.35886205
nhr-207,3.510195,6.257831,4.884013
nhr-208,7.334679,7.783615,7.559147
nhr-209,6.377964,7.650156,7.014060000000001
R07E5.5,2.485646,10.21268,6.349163000000001
zip-6,7.223121,7.784511,7.503816
R10E4.11,-0.9767242,15.44885,7.2360629
npax-3,0.81912311,10.11894245,5.46903278
miz-1,1.369946,9.583926,5.476936
mbr-1,4.114374,9.297113,6.7057435
hlh-34,6.0184605,9.955845,7.98715275
gla-3,0.5045932,7.581052,4.0428226
pzf-1,0.73770139,10.28109458,5.509397985
nhr-213,8.484479,8.484474,8.4844765
nhr-272,7.997303,7.997418,7.997360499999999
nhr-214,7.00593,7.020848,7.013389
nhr-26,-1.032211,10.21011,4.5889495
madf-4,0.7124702,4.530426,2.6214481000000003
T07D10.3,7.953561,8.052686,8.0031235
zim-1,8.249553,8.56336,8.4064565
zim-2,1.8514466,6.944884,4.3981653000000005
zim-3,1.894317,4.934567,3.414442
nfya-1,0.8448433,4.0663007,2.455572
ztf-27,5.787977,8.774345,7.281161
rbm-22,7.977465,12.530469,10.253967
nhr-218,2.487598,6.093995,4.2907965
T20F10.2,1.476244,10.77213,6.124187
T22C8.3,2.42874,5.06101,3.744875
sptf-2,0.7628813,10.1420232,5.45245225
T23F11.4,5.263462,5.866373,5.5649175
saeg-2,-7.004017,8.4241104,0.7100466999999999
jun-1,4.5448997,7.1335538,5.83922675
nhr-285,7.953561,8.052686,8.0031235
T27A8.2,1.8309926,7.0483286,4.4396606
hmg-20,6.079272,8.002325,7.0407985
W02D9.4,8.036245,7.975048,8.0056465
ccch-3,2.998706,8.599356,5.799031
zip-3,1.7791319,6.5372316,4.15818175
Y5F2A.4,1.049041,3.547361,2.298201
ztf-25,-2.119479,6.49835,2.1894355
flh-1,-3.447999,6.003624,1.2778125000000002
flh-3,4.044464,5.778003,4.9112335
nhr-230,5.244932,8.543546,6.894239
nhr-231,-1.909959,10.21194,4.1509905
Y17G7B.20,1.647064,5.331527,3.4892955000000003
nhr-232,5.50224,9.495124,7.498682
cec-7,5.653702,16.71996,11.186831
ceh-100,1.949122,8.487289,5.2182055
rabx-5,1.9748,8.960479,5.4676395
bed-1,5.390722,6.761898,6.07631
ztf-20,4.957514,6.50878,5.733147
nhr-145,6.300226,6.759502,6.529864
snpc-1.2,-0.6701834,4.8547,2.0922583
dhhc-8,8.43943654,8.43889948,8.43916801
sptf-3,6.991749,8.747392,7.8695705
dmd-3,1.831319,5.932031,3.881675
bed-2,2.026161,6.091586,4.058873500000001
dhhc-2,5.553274,8.159684,6.856479
sup-35,2.5626968,8.2540172,5.408357
