,90_160,160_210,210_270,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
alg-1,15,13,11,11,13,11,11,10,5,5
alg-2,25,17,17,16,13,6,3,3,2,3
alh-1,17,9,5,8,9,6,11,8,14,19
alh-3,10,1,1,1,4,7,14,8,25,33
alh-4,13,11,18,20,7,6,6,6,8,10
alh-5,23,10,10,1,19,14,19,10,1,1
alh-6,6,9,13,14,14,14,12,9,6,9
alh-7,11,12,10,12,15,13,10,11,7,6
alh-8,7,12,13,16,22,19,7,2,2,5
alh-9,61,8,6,5,6,3,4,3,3,6
alh-10,20,6,19,11,15,8,8,6,7,4
alh-11,13,19,22,19,12,8,3,3,4,2
alh-12,1,1,1,1,2,11,7,9,17,55
aly-1,11,15,14,14,13,14,12,5,3,2
aly-2,17,25,19,18,8,4,3,3,4,4
aly-3,24,10,13,11,11,9,7,7,6,7
ama-1,27,18,20,15,9,4,3,3,3,3
amt-1,71,31,1,1,1,1,1,1,1,1
amt-2,1,1,1,15,1,1,15,1,72,1
amt-3,1,1,1,1,1,1,21,1,21,61
amt-4,1,1,1,1,1,35,26,13,10,19
amx-1,24,13,16,15,13,7,5,3,5,5
amx-2,24,1,16,16,2,12,1,2,20,12
amx-3,5,9,5,9,1,22,9,14,1,31
anc-1,6,6,8,8,13,14,8,11,17,15
aos-1,10,16,13,16,16,10,7,5,6,6
apc-2,25,20,17,14,8,5,4,5,6,1
apc-10,31,18,14,9,9,4,10,6,3,3
apc-11,20,17,18,16,12,8,4,3,4,3
ape-1,5,9,8,9,6,7,19,25,12,5
aph-1,13,19,19,20,14,7,4,4,2,3
aph-2,20,21,20,16,11,6,4,4,2,2
apl-1,3,2,19,18,10,6,9,13,15,11
apm-1,12,4,17,16,8,5,7,16,7,13
apn-1,16,18,19,18,13,8,5,3,4,2
app-1,10,11,17,18,9,6,6,6,11,10
apr-1,16,9,15,12,9,12,25,3,2,1
aps-2,6,13,15,17,20,11,5,6,6,6
apg-1,20,11,16,15,14,9,6,6,4,5
aps-1,26,7,14,11,9,8,8,7,7,7
apb-1,15,17,18,17,13,8,5,6,5,2
apa-2,16,15,17,17,13,10,6,4,5,3
apd-3,17,11,17,14,13,10,6,8,4,4
apb-3,21,20,19,16,9,5,3,3,5,4
apm-3,17,17,16,18,14,8,6,4,3,2
aps-3,18,17,14,14,10,6,6,9,5,7
apt-9,56,5,1,5,5,7,5,1,1,19
apx-1,26,32,22,4,4,6,3,4,1,6
aqp-1,1,1,1,1,1,16,47,1,1,39
aqp-2,4,14,16,17,16,13,10,7,5,3
aqp-3,1,1,1,1,1,1,1,1,1,101
aqp-4,1,4,6,5,3,18,13,19,12,24
aqp-5,1,1,1,1,1,1,16,1,61,26
aqp-6,12,16,1,14,5,7,16,16,10,7
aqp-7,1,4,5,6,15,29,18,12,8,8
aqp-8,1,41,21,1,1,21,21,1,1,1
aqp-9,8,1,1,2,1,2,5,9,24,52
aqp-10,13,21,24,22,13,5,2,2,2,2
aqp-11,9,11,16,13,15,12,10,8,6,5
arc-1,7,13,12,18,14,13,9,7,5,6
ard-1,17,14,14,16,14,9,7,6,4,6
arf-1.2,14,15,16,17,14,9,6,5,5,4
arf-3,13,13,17,15,11,8,7,6,7,7
arf-6,11,17,23,18,12,6,5,6,4,4
arg-1,91,6,1,1,1,1,6,1,1,1
ark-1,5,5,4,5,4,4,22,28,18,10
arl-1,16,8,13,11,11,8,9,10,10,7
arl-3,19,4,5,4,3,11,12,21,10,16
arl-5,8,11,12,13,12,12,15,12,6,4
arf-1.1,1,5,17,21,5,5,17,21,12,1
arl-8,15,15,19,18,12,7,5,4,5,4
arl-6,58,8,1,8,8,1,1,20,1,1
arr-1,19,15,16,14,8,7,7,5,8,6
aars-1,9,9,11,10,14,15,11,10,8,7
aars-2,18,11,15,12,10,13,9,7,4,7
art-1,12,16,17,18,18,11,5,4,2,2
arx-1,12,17,20,19,14,8,5,4,4,3
arx-2,16,16,18,18,14,7,4,6,3,3
arx-3,14,12,10,12,12,10,9,7,8,12
exos-4.2,18,21,15,17,11,6,6,4,1,7
arx-5,16,16,20,18,16,8,5,2,3,1
arx-6,20,17,15,16,12,8,5,4,4,3
arx-7,12,17,16,13,12,8,6,9,7,6
asb-1,28,18,11,13,12,8,3,4,6,3
asb-2,5,5,5,6,7,9,13,15,19,22
asc-1,14,19,20,19,14,7,3,2,1,5
asg-1,16,10,11,11,10,10,9,10,7,11
asg-2,4,4,5,4,5,8,12,16,19,27
asm-1,6,2,6,6,3,1,2,2,21,57
asm-2,1,1,1,1,1,58,29,1,15,1
asp-1,2,1,1,1,5,11,11,3,36,34
asp-2,8,3,2,1,4,14,14,10,20,27
asp-3,1,2,1,1,3,7,20,8,39,24
asp-4,8,6,21,20,15,7,6,8,7,6
asp-5,1,5,6,6,6,5,5,23,2,45
asp-6,1,1,1,1,3,3,28,21,27,20
atf-2,1,1,3,4,17,51,19,3,3,3
atf-5,2,7,6,8,14,16,16,13,13,10
atf-6,29,14,14,12,10,7,8,5,4,2
atf-7,20,28,18,16,6,4,4,6,2,2
