,90_160,160_210,210_270,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
med-1,588,588,588,588,1176,4118,588,588,588,588
mef-2,161,161,161,161,806,323,484,806,484,6452
mei-1,1631,1485,1561,1605,1206,730,577,489,495,222
mei-2,2500,1161,1429,1429,625,357,446,1518,446,89
mek-1,2546,872,803,963,872,482,780,505,1032,1147
mek-2,444,1235,929,1362,1510,1193,845,623,1003,855
mel-11,1155,913,1208,1096,1246,1611,1176,826,493,277
mel-26,1555,1105,824,909,1274,986,1589,807,450,501
mel-28,2562,2079,2128,1594,708,190,186,176,216,160
mel-32,2297,1708,1853,1120,782,346,459,274,500,661
memi-1,968,81,484,242,403,1048,2339,3871,484,81
mep-1,2765,1478,1341,1266,894,586,616,553,255,245
mes-1,5841,973,354,619,354,265,265,88,1150,88
mes-2,3056,1713,1875,1505,903,255,185,162,93,255
mes-3,2238,1487,1952,1375,691,677,571,412,511,86
mes-4,2566,2431,1916,1896,595,70,130,160,100,135
mes-6,3253,2169,482,1446,1566,120,361,241,120,241
mev-1,647,706,721,760,697,667,1050,1264,1487,2001
mex-1,1765,588,1471,588,2353,882,294,882,882,294
mex-3,2165,1814,1526,1237,990,309,330,680,577,371
mex-5,3636,1591,455,1136,545,682,273,682,864,136
mex-6,3333,1056,944,667,611,500,278,556,1222,833
mgl-1,357,357,357,714,1071,1786,2143,714,357,2143
mgl-2,769,769,769,769,769,3077,769,769,769,769
mif-1,674,802,1273,1380,1401,1059,802,834,834,941
mif-2,524,1136,1126,1262,1166,1162,979,921,833,891
mif-3,916,2241,1819,1928,1718,532,292,196,231,126
mif-4,1064,426,1064,851,2766,426,2340,638,213,213
mig-1,382,1836,1073,1485,1958,1604,718,373,344,226
mig-2,1144,1252,1185,1069,1279,1026,808,538,891,808
mig-5,2098,1435,1679,1230,873,650,671,533,315,516
mig-6,55,366,335,702,2288,3160,1787,593,378,334
mig-10,1183,1406,1236,1235,1342,1144,1068,582,512,294
mig-13,2284,1783,1330,1557,1128,659,163,413,465,218
mig-14,1751,2160,2340,1851,1144,481,59,45,69,99
mig-15,768,854,941,1100,1279,922,707,847,1158,1424
mig-17,9,18,9,38,354,1499,3337,3326,1169,241
mig-18,6,17,6,28,384,1658,3034,2855,1462,550
mig-21,833,833,833,833,833,833,2500,833,833,833
mig-22,1300,1114,1678,1318,1090,839,593,725,971,371
mig-23,680,1125,1606,1278,1465,1266,938,633,633,375
cogc-1,1170,1962,1736,1660,1472,340,717,264,75,604
mix-1,2037,2421,2228,1967,816,187,105,128,53,57
mkk-4,519,231,519,605,605,1614,1614,2248,692,1354
mlc-1,13,2,0,11,406,1272,1520,1806,2199,2771
mlc-2,9,16,19,55,429,1140,1439,1512,2174,3206
mlc-3,5,21,27,51,414,1254,1573,1891,2157,2606
mlc-4,1436,1962,1966,1708,905,667,367,470,273,246
mlh-1,2539,2314,1697,1501,856,252,407,196,126,112
mlk-1,467,13,307,93,40,880,1840,2933,2320,1107
mlp-1,25,232,209,477,1898,3045,2245,1001,533,335
