,slope,interecept,r,p,std_err,r^2
nhr-100,1.5934899687557436e-05,0.026483595580775593,0.11756170877438551,0.8017973466583064,6.0197211047185695e-05,0.013820755369953433
F19C7.8,7.899721017582553e-05,0.003656158614347843,0.5995134515986814,0.15480044679943258,4.716455434618251e-05,0.35941637864776455
zip-8,5.182899646511058e-05,0.007066291364853278,0.32114576223244345,0.48247976325614755,6.835168684762704e-05,0.1031346005998571
nhr-131,3.288144801935919e-05,0.01686359019342645,0.19373969846358075,0.6772350553827301,7.446286975399568e-05,0.03753507076075919
nhr-132,0.00013751026341971448,-0.030771346180175206,0.8183988973245898,0.02441384422550306,4.3180622268570435e-05,0.6697767551421046
nhr-137,1.0287891967162906e-05,0.014250007584567785,0.06401418802877121,0.8915486649961613,7.172548508325568e-05,0.004097816268982875
nhr-183,3.967856186117747e-05,0.015709556493340684,0.25998051902969926,0.5734065188197202,6.590731295506302e-05,0.06758987027495182
nob-1,8.707574310482141e-05,0.00881406928750842,0.766877318019092,0.04424913625330469,3.2589804683024806e-05,0.5881008208921555
odr-7,-7.242150601360045e-06,0.020253433617233963,-0.04267254957262007,0.9276227694276739,7.582949854998451e-05,0.001820946487027717
oma-1,-3.5818041775408926e-05,0.05415314806487778,-0.29138524092060536,0.5260589325156297,5.2587471811724404e-05,0.08490535862635923
nhr-142,-1.9001115108129632e-05,0.04040206015981744,-0.11792951633879772,0.8011858772903409,7.155342482804484e-05,0.013907370823902759
nhr-186,3.6323304180236484e-05,-0.003565149712086631,0.21201146611212232,0.6481123604378687,7.4878012685036e-05,0.04494886176301159
pat-6,2.146855480610182e-05,0.03749925330159898,0.1995916691736076,0.667871239247204,4.713547830475813e-05,0.03983683440350682
ztf-13,7.965438611162165e-05,-0.002081689948661404,0.6048509792305574,0.15018958508510577,4.690013744485908e-05,0.3658447070761642
php-3,9.362745757520065e-05,0.006277863095509394,0.807166641953034,0.028184112889376743,3.062282170086735e-05,0.6515179878817374
madf-3,0.0001028447127366293,-0.011733294204557987,0.7036060876482583,0.0777035760010879,4.6450095400385065e-05,0.4950615265756885
pos-1,8.520277362617166e-05,-0.007153361152177913,0.6303778796583568,0.12910865417401587,4.6923551988399594e-05,0.39737627116256574
lect-2,7.563468551736812e-05,0.014656548626539243,0.8207562466291629,0.0236610688514408,2.3543429506603753e-05,0.6736408163807913
aptf-1,9.917905503890217e-05,-0.017845118454665198,0.6800638557590961,0.0927489778524811,4.781672394418935e-05,0.46248684790992867
rbr-2,-3.614285169392881e-05,0.06155645332518532,-0.3905315848265417,0.3863920771508894,3.810195682565044e-05,0.15251491874713036
rho-1,-1.8679671383936776e-05,0.04409014213131777,-0.1459421068078311,0.7548710551074826,5.662765954897142e-05,0.021299098539508378
rnt-1,0.00015346714032346995,-0.03026164857186179,0.8554305376854264,0.014097868303059431,4.155337291648519e-05,0.7317614048047778
nhr-204,5.2849762313912897e-05,-0.0042311269129204285,0.29851764245918955,0.5154958500036819,7.556493914005377e-05,0.08911278285939253
R02D3.7,3.444882520982664e-05,0.014053800433498735,0.24827221470320132,0.5913888205864755,6.01099336691077e-05,0.0616390925936325
ceh-93,2.0957603810574043e-05,0.018266978857991785,0.15606349672077396,0.7382729920755351,5.931998338466566e-05,0.024355815008715025
sel-7,5.106460061263247e-05,0.017814944272989044,0.35441417048768215,0.4353926252246216,6.02527118671572e-05,0.12560940424247183
sem-4,3.307524004043374e-05,0.01837889616601728,0.16906317498353288,0.7170735133701477,8.62326981985439e-05,0.028582357135512656
sex-1,1.6604432199963233e-05,0.012182700628303622,0.11323286092991451,0.8089999075015624,6.515749075109987e-05,0.01282168079437336
R144.3,8.167204579427802e-05,-0.004096466594069724,0.5814255021295877,0.1709419115747974,5.1109908915403595e-05,0.3380556145266431
nhr-212,5.71253074741163e-05,-0.005083411869533795,0.37638927363566976,0.40530463440182296,6.288307029006042e-05,0.1416688853079871
sma-9,1.0511047123690498e-05,0.021175244758316482,0.06785661097363538,0.8850680694392187,6.911409852059822e-05,0.004604519652827294
T10D4.6,3.144225031918153e-05,0.02187517443022728,0.22632444490836726,0.625544024338831,6.051726398374994e-05,0.05122275436308057
spr-1,-1.6726905642345163e-05,0.034589602605771,-0.10658216235533623,0.8200864623344315,6.978550411082507e-05,0.011359757332339251
T26A5.8,5.1742009501929795e-05,0.01938283731405991,0.37705899421427796,0.404400915574518,5.6839299561833275e-05,0.14217348511788291
tbx-7,-2.0524656748146787e-05,0.05100228207302579,-0.1739167337259931,0.7091946714137418,5.197327563319835e-05,0.03024703026991798
